case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
remove_sector_0,sector_removal,1.6417170222726951,1.5339326345417883,4.4683785330388375,1.0702667022682544,0.36740777669885605,0.59559070966735395,0.4898869795733769
remove_sector_1,sector_removal,12.204422173246932,5.7560122509506044,11.062077726661798,2.120291208767211,1.1032667166884806,0.5002778730348989,0.28042209276139157
remove_sector_2,sector_removal,4.0377875077880923,7.8445391708378045,11.025230135100683,0.51472590293112819,0.36623158503813119,0.44258473608226517,0.33679210716169972
remove_sector_3,sector_removal,8.3373677859342852,6.0473175819667828,10.084467759502385,1.378688595881995,0.82675337804299653,0.36149598422895668,0.32131616181755279
remove_sector_4,sector_removal,6.7027805853991262,6.2104643455055832,9.3826358711504998,1.0792720499635144,0.71438140384501891,0.42438385925206767,0.3352433736838889
remove_sector_5,sector_removal,7.0400748426600099,7.5616431975448988,9.6126600363087871,0.93102446898655167,0.73237530673802576,0.54672865201862364,0.30538605968377069
remove_sector_6,sector_removal,9.5929688379202585,2.376216672592673,8.7592311259109739,4.0370766473300765,1.0951838922874151,0.54145241166287017,0.45739972387641381
remove_sh600206,leave_one_out,9.8677958778722754,7.160322151973264,9.3130112893355079,1.3781217755897865,1.0595709133491613,0.43971829871598822,0.33443355675545561
remove_sh601869,leave_one_out,3.5794092639742008,5.4389245589478881,8.998522408945945,0.65810974673026279,0.39777744626336714,0.46672940198189372,0.36634294037524751
remove_sh603986,leave_one_out,10.05606312590159,6.1098657613321432,9.3229393472321362,1.6458730058431024,1.0786365492002379,0.42746285835257308,0.3353849219791788
remove_sh688008,leave_one_out,10.76844874803993,5.6279979441220407,9.327284536393476,1.9133711232582533,1.1545105873015107,0.44039745893156063,0.33540324977028629
remove_sh688012,leave_one_out,7.6235133396715229,5.6090186220763867,9.269853754895216,1.3591527954045901,0.8223984478337325,0.4277224156105785,0.34704198662397751
remove_sh688019,leave_one_out,9.4505301200076168,5.4863652373124046,9.3172402991385859,1.722548483599887,1.0143057189242348,0.4445971294805825,0.33553241932072742
remove_sh688037,leave_one_out,12.971999830572912,7.4488456580815692,9.2963360136264139,1.7414778646271236,1.3953884424528946,0.4130016043279604,0.30588071173293291
remove_sh688041,leave_one_out,9.8057731180028505,6.8048420963565741,9.2538352681619767,1.4409993618004779,1.0596442268363937,0.41567316068353721,0.33521870266458043
remove_sh688072,leave_one_out,11.242376027660567,7.63152255014659,9.2388294063354053,1.4731498143112502,1.2168615235985694,0.47213995411303761,0.3346340893952659
remove_sh688082,leave_one_out,10.76844874803993,6.4553045171458479,9.3238394436986844,1.6681550373708935,1.1549371707936855,0.44039745893156063,0.33517293519546132
remove_sh688120,leave_one_out,10.617939995072778,6.3480071165887404,9.2786762032808312,1.6726414763029742,1.1443378088049241,0.41735230653852978,0.33932335380976802
remove_sh688205,leave_one_out,7.3721482603864414,6.1455889627714004,9.2679451371177279,1.1995836859648867,0.79544582443213863,0.46176720178230413,0.32168893190108683
remove_sh688249,leave_one_out,8.0831309808024727,5.5937341720373324,9.3683318629580068,1.4450330909912474,0.86281433013307685,0.4372029329897032,0.30903842269135562
remove_sh688256,leave_one_out,9.5532859452627541,3.158296707446131,8.5801543470614625,3.0248221842930501,1.1134165609193931,0.4799369571678837,0.33332043619164148
remove_sh688268,leave_one_out,10.76844874803993,6.5209816526146218,9.371920090948084,1.6513539405102089,1.1490120107234685,0.44039745893156063,0.335060380302386
remove_sh688300,leave_one_out,7.1562887358403762,4.8319505806085656,9.1959219593196675,1.4810351671558424,0.77820242141004559,0.39505006360294681,0.33589923552699308
remove_sh688347,leave_one_out,8.6141811291655266,7.6199616132113244,9.2924552260880837,1.1304756593826464,0.92700808554682745,0.51668322632618258,0.30610252952756972
remove_sh688361,leave_one_out,6.0618363919064127,5.9614188418965375,9.2911551917908728,1.0168445721854245,0.65243086212382939,0.4485710367966439,0.34131232925810362
remove_sh688409,leave_one_out,5.694825966035606,4.6302677941002157,9.3540772054179673,1.2299128731370195,0.60880681664003267,0.45826206315805418,0.3299547472297179
remove_sh688498,leave_one_out,12.018961716322364,4.466939088088222,8.5990445234401403,2.6906482222631531,1.3977089761030856,0.39715961844696562,0.35836183978480451
remove_sh688535,leave_one_out,7.8989623153763731,4.7148379694368971,9.3461033657231862,1.6753412029384676,0.84516102660984904,0.42103317739265528,0.33605478055248461
remove_sh688825,leave_one_out,10.76844874803993,6.5087580441559476,9.3916364807295682,1.654455224020603,1.1465998252951339,0.44039745893156063,0.33466426752273981
remove_sz002281,leave_one_out,7.6190318275223108,3.869729261572834,9.0794554324913896,1.9688798136812262,0.83915074909197052,0.48803022830041443,0.34025693329335521
remove_sz002371,leave_one_out,11.174351416619402,6.4255590832075056,9.3278612659844153,1.7390473376584996,1.1979542896256956,0.43859895276402111,0.33488995430207552
remove_sz002409,leave_one_out,8.3845508267454036,4.582612218906549,9.3454697954760668,1.8296444093945243,0.8971780991474797,0.43404333180588811,0.33563774014086828
remove_sz300054,leave_one_out,10.76844874803993,6.5087580441559476,9.3300538983229941,1.654455224020603,1.1541679035718622,0.44039745893156063,0.33466426752273981
remove_sz300223,leave_one_out,7.3020307950408512,4.6668679651095921,9.3682621705394364,1.5646533927319664,0.77944347223796695,0.44465130330911901,0.335536543844625
remove_sz300308,leave_one_out,4.2545780173163088,2.9175984862709519,7.8899123103725612,1.4582465809934597,0.53924275073665651,0.53275479362800393,0.3351026403756634
remove_sz300394,leave_one_out,5.3662947333204487,3.12480712801946,8.388417500520946,1.7173203060125091,0.63972671042984997,0.49471505537297611,0.32834859425151602
remove_sz300502,leave_one_out,3.5294146839642218,1.4965017626919728,7.8408625553704416,2.3584433857367175,0.45013092106133401,0.72070774144494243,0.48764743761886548
remove_sz300604,leave_one_out,8.9000844394341261,8.3648754225230704,9.2529411664481529,1.063982903495486,0.96186545222036957,0.45831481040024741,0.32651623494638832
remove_sz300666,leave_one_out,10.76844874803993,6.9340100852129902,9.3273820550303057,1.55299006140819,1.1544985167871888,0.44039745893156063,0.30557893804803971
remove_sz300776,leave_one_out,6.7027805853991262,6.2104643455055832,9.3826358711504998,1.0792720499635144,0.71438140384501891,0.42438385925206767,0.3352433736838889
sample_13_0,sampled_subset,6.0832611013964284,5.4532347707764481,9.811339770077776,1.1155325888399767,0.62002348751073832,0.41200009564115442,0.35374522165476269
sample_13_1,sampled_subset,6.396623468685469,5.5018977498346748,17.283239529833484,1.1626212916947938,0.37010558452562842,0.57299842236799425,0.37084095974325493
