candidate,scope,leadership_window,exit_span,positions,pressure_guard,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
18,union,252,20,4,False,MEASURED,2023-01-03,2025-12-31,727,3.112861841620902,2.112861841620902,0.46150469146296635,0.59682611617144876,0.59682611617144876,0.99882164787143535,274,91.563129002744745,69.297851758196032,116168.08110900379,204460.47630596173,0.8736500840467275,0,0.86089731407110914,-1.1341193832786487
18,chatgpt_5,252,20,4,False,MEASURED,2023-01-03,2025-12-31,727,6.0334705392555135,5.0334705392555135,0.82323942814596185,0.48756062899151031,0.48756062899151031,1.4210389346315373,139,46.449908508691678,46.666015498384738,113224.29658154391,203881.95313821401,0.69971231733098305,0,0.47414527621431457,-1.5671364453396086
18,joint_optical_leader_removal,252,20,4,False,MEASURED,2023-01-03,2025-12-31,727,1.026267986214781,0.026267986214780992,0.0087023623663569083,0.71520213469167238,0.71520213469167238,0.25754391706220381,242,80.869624885635872,67.745158596273015,75931.6304160742,128862.29774529555,0.86155002452643126,11,0.69600569706571791,-1.7465454778997076
19,union,252,20,4,True,MEASURED,2023-01-03,2025-12-31,727,1.4489489101842505,0.44894891018425054,0.1319296288407743,0.62959238667096895,0.62959238667096895,0.50150092191726081,421,140.68641354071363,83.749630062648748,119398.2962402634,208354.42958733952,0.82327135570057153,297,1.4057142857142857,-2.0216447605541448
19,chatgpt_5,252,20,4,True,MEASURED,2023-01-03,2025-12-31,727,4.7691571326644295,3.7691571326644295,0.68545126520047273,0.4893811901678935,0.4893811901678935,1.2941407041190063,244,81.537968892955178,57.780905434518061,124714.40518254315,223384.53054050123,0.6420354906447715,141,1.0504201680672267,-1.8738307901094242
19,joint_optical_leader_removal,252,20,4,True,MEASURED,2023-01-03,2025-12-31,727,1.0779514821029426,0.07795148210294256,0.025401018916493268,0.74312695049981237,0.74312695049981237,0.28424870247706846,355,118.63106129917658,79.25958171946148,92582.52994084821,157141.21777831673,0.81061601061459188,372,0.98324022346368722,-1.7938784062187827
20,union,252,60,2,False,MEASURED,2023-01-03,2025-12-31,727,1.5082054799618443,0.50820547996184429,0.14719305111538739,0.63209757679766587,0.63209757679766587,0.53198672372271116,158,52.799176578225072,73.410787372358087,113633.32174680493,199287.74570470641,0.85883027164535253,0,0.98074246639907936,-1.8076670630442473
20,chatgpt_5,252,60,2,False,MEASURED,2023-01-03,2025-12-31,727,13.642697372177492,12.642697372177492,1.3947042722936795,0.51868273120538477,0.51868273120538477,1.8437748856718954,92,30.743824336688014,44.359682109821122,211719.97456572182,386361.07296076551,0.73077044741651009,0,0.56824331702482667,-0.74318385689123823
20,joint_optical_leader_removal,252,60,2,False,MEASURED,2023-01-03,2025-12-31,727,1.0240937235008356,0.024093723500835607,0.0079877164696249281,0.76127562826103601,0.76127562826103601,0.26944804615948026,147,49.123284537968892,70.572484445479716,84260.801354541414,148294.6635233298,0.84603530731743859,0,0.698126555564622,-1.7197287758803006
21,union,252,60,2,True,MEASURED,2023-01-03,2025-12-31,727,1.6063580925104914,0.60635809251049144,0.17161994355640209,0.57288134844443883,0.57288134844443883,0.56782986755459086,229,76.525388838060394,78.867898487284052,138102.95679680686,243275.4798305236,0.74899955086269532,101,0.91769342427859579,-1.747658274178514
21,chatgpt_5,252,60,2,True,MEASURED,2023-01-03,2025-12-31,727,12.948172882998275,11.948172882998275,1.3532547252143901,0.50399274630511748,0.50399274630511748,1.8827871139143106,170,56.809240622140898,51.556125682207409,228758.41875798404,417741.35483403015,0.66629285032679053,19,0.52382797550477589,-0.83654690013443478
21,joint_optical_leader_removal,252,60,2,True,MEASURED,2023-01-03,2025-12-31,727,0.76400592064608752,-0.23599407935391248,-0.086025249482185262,0.77583994786577226,0.77583994786577226,0.057859599477369496,222,74.186184812442818,78.041637672339164,85764.725583749416,148672.45885780736,0.75604516158876678,225,0.99111434515877594,-2.0737656057269547
22,union,252,60,4,False,MEASURED,2023-01-03,2025-12-31,727,1.96738653971679,0.96738653971679001,0.25374642737655106,0.57831355129336037,0.57831355129336037,0.71007056707060767,226,75.522872827081429,57.929453736610434,93472.691363701946,167869.92989637854,0.8777112816576792,0,0.80317533890153503,-1.5469909242261604
22,chatgpt_5,252,60,4,False,MEASURED,2023-01-03,2025-12-31,727,7.4358195107764473,6.4358195107764473,0.95512128665734553,0.49291037529919068,0.49291037529919068,1.534139368625181,107,35.756404391582798,43.231833614194763,149467.00761615988,269557.53735070291,0.71991078585181578,0,0.49032029687733303,-1.3407753402835845
22,joint_optical_leader_removal,252,60,4,False,MEASURED,2023-01-03,2025-12-31,727,0.98870674139819159,-0.011293258601808409,-0.0037881691418358843,0.69264856023637744,0.69264856023637744,0.20626613176295494,204,68.171088746569083,55.680872784090653,62610.816376310053,106926.91771797916,0.85873164679142011,9,0.73329211650555226,-1.7415196442199372
23,union,252,60,4,True,MEASURED,2023-01-03,2025-12-31,727,1.6798203205839919,0.67982032058399189,0.18925923196335659,0.65525737616000557,0.65525737616000557,0.60358034038846176,373,124.64615736505033,75.213692004206564,103769.48498982079,183005.65069565322,0.82320015552062686,343,1.1314285714285712,-1.8609645587024715
23,chatgpt_5,252,60,4,True,MEASURED,2023-01-03,2025-12-31,727,6.3256993893660063,5.3256993893660063,0.85228602083491789,0.4791453702869628,0.4791453702869628,1.482392836449955,233,77.862076852698991,53.343246694949336,164996.55075751137,296238.77429566876,0.64966752872512368,74,0.95798319327731085,-1.5763511247629609
23,joint_optical_leader_removal,252,60,4,True,MEASURED,2023-01-03,2025-12-31,727,0.85517244238696966,-0.14482755761303034,-0.050938736141515784,0.76273105012450626,0.76273105012450626,0.10221323575751867,339,113.28430924062215,71.054854873434621,69493.16705411156,117503.36590067662,0.7933245613378257,490,0.8938547486033519,-2.029402584347646
