date,nav,cash,global_peak,warning_cap,funded_budget,actual_risk,requested_risk,original_target_error,changed_units,target_l1_change,protective,reason
2024-09-26,2958358.2126138201,2958358.2126138201,3572005.240064959,0.5,295835.82126138202,0,147917.91063069101,0,False,0,False,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|CASH_FUNDED_SUPPORT_RISK
2024-09-27,2999077.1149011999,1945023.7551384806,3572005.240064959,0.5,299907.71149011998,155485.56144533129,155485.56144533129,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|RETAIN_ACTUAL_UNITS
2024-09-30,3168173.4321377352,1945023.7551384806,3572005.240064959,0.5,316817.34321377357,169032.35958682204,169032.35958682204,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|RETAIN_ACTUAL_UNITS
2024-10-08,3416059.9526626458,1945023.7551384806,3572005.240064959,1,341605.9952662646,200072.72453083316,341605.99526626465,0,False,0,False,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|CASH_FUNDED_SUPPORT_RISK
2024-10-09,3296515.9587484053,975303.1933284807,3572005.240064959,1,329651.59587484057,176419.17734474281,176419.17734474281,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2024-10-10,3223258.9097492457,975303.1933284807,3572005.240064959,1,322325.89097492461,110412.1050640005,110412.1050640005,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2024-10-11,3217942.6044440656,975303.1933284807,3572005.240064959,1,321794.26044440659,117615.76299784634,104487.4042839997,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-10-14,3264921.5386863193,1627907.7269749497,3572005.240064959,1,326492.15386863193,155279.7405721166,318525.81750643253,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|CASH_FUNDED_SUPPORT_RISK
2024-10-15,3164206.5514276223,871820.0592795898,3572005.240064959,1,316420.65514276223,206162.63456880438,206162.63456880438,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2024-10-16,3042489.8435263759,871820.0592795898,3572005.240064959,1,304248.98435263761,126841.99665040756,97467.751728848307,0,False,0,True,MARKET_WEAK_WARNING|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-10-17,3089938.1519498015,2355220.6919358978,3572005.240064959,1,308993.81519498018,130227.67357392884,284724.58117141895,0,False,0,False,MARKET_WEAK_WARNING|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|CASH_FUNDED_SUPPORT_RISK
