date,symbol,actual_units,weight,economic_target,declared_units,stop,close,stop_broken,price_exit,ready,entry,score,cap,cash_fraction,reason
2025-09-26,sh600206,0,0,,0,0,21.210999999999999,False,False,True,False,0.99051110333343584,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh601869,0,0,,0,0,102.705,False,False,True,False,2.9168370735897828,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh603986,4317.1314741035858,0.13037657726787322,,4317.1314741035858,161.85900000000001,189.46000000000001,False,False,True,False,1.8871270103629361,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688008,0,0,,0,0,132.51599999999999,False,False,True,True,2.8706015166591277,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688012,0,0,,0,0,194.39599999999999,False,False,True,True,1.9521383477237688,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688019,0,0,,0,0,171.24600000000001,False,False,True,True,2.530410886309066,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688037,0,0,,0,0,138.154,False,False,True,True,1.7881067132323933,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688041,8668.3491669054201,0.35767460905057769,,8668.3491669054201,211.80349999999999,258.86000000000001,False,False,True,True,2.5357422958862759,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688072,0,0,,0,0,249.86099999999999,False,False,True,True,2.1387175362964745,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688082,0,0,,0,0,183.83000000000001,False,False,True,True,2.1010169980634013,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688120,0,0,,0,0,116.376,False,False,True,True,2.0213686966607018,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688205,0,0,,0,0,119.59999999999999,False,False,True,False,1.3893458130374685,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2025-09-26,sh688249,0,0,,0,0,32.899999999999999,False,False,True,True,1.4657789825143299,1,0.51194881368154921,TREND_OPEN|RETAIN_ACTUAL_UNITS|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
