scope,date,symbol,cash_fraction,cap,healthy_closes,entry_closes,actionable,higher_than_new_request,actual_new_requests,matured_forward20_return
joint_optical_leader_removal,2024-06-20,sh688012,0.0029540949396197123,1,4,1,False,False,,0.033371400850960464
joint_optical_leader_removal,2024-06-24,sh688041,0.0030315693110827685,0,10,1,False,False,,0.068842113889989287
joint_optical_leader_removal,2024-07-15,sh688300,0.49966962889354155,0.5,5,1,False,False,,-0.19457920792079197
joint_optical_leader_removal,2024-07-16,sh688300,0.49732382711322654,1,6,2,False,False,,-0.18317886702681263
joint_optical_leader_removal,2024-07-17,sh688041,0.27671871062343351,1,3,2,False,False,,-0.040020469486032217
joint_optical_leader_removal,2024-07-18,sh688012,0.27892653476644302,1,5,1,False,False,,-0.030122543985760197
joint_optical_leader_removal,2024-07-19,sh688012,0.45197027761499936,1,6,2,True,False,sz002371,-0.045234390196459806
joint_optical_leader_removal,2024-07-22,sh688300,0.010413930961545914,1,10,1,False,False,,-0.20464518081404148
joint_optical_leader_removal,2024-10-08,sh688008,0.39298565127374196,1,4,1,False,False,,-0.14201213283053138
joint_optical_leader_removal,2024-10-08,sh688300,0.39298565127374196,1,5,1,False,False,,-0.090670740048333531
joint_optical_leader_removal,2024-10-08,sz002281,0.39298565127374196,1,6,1,False,False,,0.23997818380147251
joint_optical_leader_removal,2024-10-08,sz002371,0.39298565127374196,1,4,1,False,False,,0.019800444953819163
joint_optical_leader_removal,2024-10-09,sh688008,0.11669359672660004,1,5,2,False,False,,-0.1292630328387504
joint_optical_leader_removal,2024-10-09,sh688300,0.11669359672660004,1,6,2,False,False,,0.041646439612662345
joint_optical_leader_removal,2024-10-09,sz002281,0.11669359672660004,1,7,2,False,False,,0.35415403274711954
joint_optical_leader_removal,2024-10-09,sz002371,0.11669359672660004,1,5,2,False,False,,-0.00022449095837517863
joint_optical_leader_removal,2024-10-25,sh688019,0.23942765598129792,1,6,1,False,False,,0.05691938730009527
joint_optical_leader_removal,2024-10-28,sh688019,0.23728594117316043,1,7,2,False,False,,0.076193260014371544
joint_optical_leader_removal,2024-12-10,sh688041,0.5623013756556241,1,5,1,True,False,sh688249,0.15081876342471778
joint_optical_leader_removal,2024-12-24,sh688041,0.46851639189503974,1,4,1,False,False,,-0.058999152065326577
joint_optical_leader_removal,2024-12-25,sh688041,0.46742800500282378,1,5,2,False,False,,-0.16684700142773912
joint_optical_leader_removal,2025-01-10,sh688256,1,0,4,1,False,False,,-0.094924177653782138
joint_optical_leader_removal,2025-01-13,sh688256,1,0,5,2,False,False,,-0.12669039589321018
joint_optical_leader_removal,2025-02-13,sh600206,0.39180384191398049,1,6,1,False,False,,-0.020062899902396736
joint_optical_leader_removal,2025-02-14,sh600206,0.39797398788628741,1,7,2,False,False,,0.017384477344100313
joint_optical_leader_removal,2025-02-21,sh688120,0.38250940483087553,1,4,1,False,False,,-0.070763301573707249
joint_optical_leader_removal,2025-02-24,sh688120,0.39426789411672475,1,5,2,False,False,,-0.052328097404647833
